"FFQ0090A.Code.or.Value","FFQ0090A.Value.Description","FFQ0090A.Count","FFQ0090A.Cumulative","FFQ0090A.Skip.to.Item"
1,"Almost never or never",3166,3166,NA
2,"About 1/4 of the time",547,3713,NA
3,"About 1/2 of the time",552,4265,NA
4,"About 3/4 of the time",257,4522,NA
5,"Almost always or always",495,5017,NA
88,"Blank",1451,6468,NA
99,"Error",4,6472,NA
