"OHD02LAM.Code.or.Value","OHD02LAM.Value.Description","OHD02LAM.Count","OHD02LAM.Cumulative","OHD02LAM.Skip.to.Item"
"0 to 12","Range of Values",1374,1374,NA
"99","Calculation cannot be determined",419,1793,NA
".","Missing",4965,6758,NA
