"PFQ057.Code.or.Value","PFQ057.Value.Description","PFQ057.Count","PFQ057.Cumulative","PFQ057.Skip.to.Item"
"1","Yes",514,514,NA
"2","No",5200,5714,NA
"7","Refused",0,5714,NA
"9","Don't know",5,5719,NA
".","Missing",3272,8991,NA
