"SMD100FL.Code.or.Value","SMD100FL.Value.Description","SMD100FL.Count","SMD100FL.Cumulative","SMD100FL.Skip.to.Item"
"0","Non-filter",12,12,NA
"1","Filter",1079,1091,NA
".","Missing",6077,7168,NA
