"DR1TP205.Code.or.Value","DR1TP205.Value.Description","DR1TP205.Count","DR1TP205.Cumulative","DR1TP205.Skip.to.Item"
"0 to 2.687","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
