"OSQ090c.Code.or.Value","OSQ090c.Value.Description","OSQ090c.Count","OSQ090c.Cumulative","OSQ090c.Skip.to.Item"
"1","Yes",64,64,"OSQ120c"
"2","No",21,85,""
"7","Refused",0,85,"OSQ120c"
"9","Don't know",0,85,"OSQ120c"
".","Missing",6133,6218,""
