"WHD120.Code.or.Value","WHD120.Value.Description","WHD120.Count","WHD120.Cumulative","WHD120.Skip.to.Item"
"70 to 420","Range of Values",4817,4817,NA
"7777","Refused",3,4820,NA
"9999","Don't know",237,5057,NA
".","Missing",1270,6327,NA
