"DXXLRBMD.Code.or.Value","DXXLRBMD.Value.Description","DXXLRBMD.Count","DXXLRBMD.Cumulative","DXXLRBMD.Skip.to.Item"
"0.324 to 1.07","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
