"URXTRA.Code.or.Value","URXTRA.Value.Description","URXTRA.Count","URXTRA.Cumulative","URXTRA.Skip.to.Item"
"0.0495 to 0.0495","Range of Values",2557,2557,NA
".","Missing",199,2756,NA
