"LBXSY1.Code.or.Value","LBXSY1.Value.Description","LBXSY1.Count","LBXSY1.Cumulative","LBXSY1.Skip.to.Item"
"1","Positive",59,59,NA
"2","Negative",2965,3024,NA
"3","Indeterminate",4,3028,NA
".","Missing",271,3299,NA
