"DS1TPOTA.Code.or.Value","DS1TPOTA.Value.Description","DS1TPOTA.Count","DS1TPOTA.Cumulative","DS1TPOTA.Skip.to.Item"
"0.1 to 794.5","Range of Values",674,674,NA
".","Missing",8664,9338,NA
