"DSQIFDFE.Code.or.Value","DSQIFDFE.Value.Description","DSQIFDFE.Count","DSQIFDFE.Cumulative","DSQIFDFE.Skip.to.Item"
"1.5317 to 13600","Range of Values",2727,2727,NA
".","Missing",5558,8285,NA
