"DRD350D.Code.or.Value","DRD350D.Value.Description","DRD350D.Count","DRD350D.Cumulative","DRD350D.Skip.to.Item"
"1","Yes",303,303,""
"2","No",3002,3305,"DRD350E"
".","Missing",5399,8704,""
