"DS1TSODI.Code.or.Value","DS1TSODI.Value.Description","DS1TSODI.Count","DS1TSODI.Cumulative","DS1TSODI.Skip.to.Item"
"0.8 to 560","Range of Values",432,432,NA
".","Missing",9381,9813,NA
