"OHD27LAS.Code.or.Value","OHD27LAS.Value.Description","OHD27LAS.Count","OHD27LAS.Cumulative","OHD27LAS.Skip.to.Item"
"0 to 11","Range of Values",2471,2471,NA
"99","Calculation cannot be determined",81,2552,NA
".","Missing",4166,6718,NA
