"DXXRALI.Code.or.Value","DXXRALI.Value.Description","DXXRALI.Count","DXXRALI.Cumulative","DXXRALI.Skip.to.Item"
"657.5 to 8139.2","Range of Values",5347,5347,NA
".","Missing",686,6033,NA
