"RFXT118.Code.or.Value","RFXT118.Value.Description","RFXT118.Count","RFXT118.Cumulative","RFXT118.Skip.to.Item"
"1026 to 1035","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
