"BAAEXSTS.Code.or.Value","BAAEXSTS.Value.Description","BAAEXSTS.Count","BAAEXSTS.Cumulative","BAAEXSTS.Skip.to.Item"
"1","Complete",847,847,NA
"2","Partial",18,865,NA
"3","Not done",146,1011,NA
".","Missing",0,1011,NA
