"AUXOTSPL.Code.or.Value","AUXOTSPL.Value.Description","AUXOTSPL.Count","AUXOTSPL.Cumulative","AUXOTSPL.Skip.to.Item"
"1","Yes (checkbox checked)",1774,1774,NA
"2","No (checkbox unchecked)",455,2229,NA
".","Missing",139,2368,NA
