"BPXSY3.Code.or.Value","BPXSY3.Value.Description","BPXSY3.Count","BPXSY3.Cumulative","BPXSY3.Skip.to.Item"
"78 to 234","Range of Values",6091,6091,NA
".","Missing",3859,9950,NA
