"DRD350F.Code.or.Value","DRD350F.Value.Description","DRD350F.Count","DRD350F.Cumulative","DRD350F.Skip.to.Item"
"1","Yes",334,334,""
"2","No",3875,4209,"DRD350G"
".","Missing",5741,9950,""
