"DR2ISODI.Code.or.Value","DR2ISODI.Value.Description","DR2ISODI.Count","DR2ISODI.Cumulative","DR2ISODI.Skip.to.Item"
"0 to 8688","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
