"WHD080T.Code.or.Value","WHD080T.Value.Description","WHD080T.Count","WHD080T.Cumulative","WHD080T.Skip.to.Item"
"46","Ate less junk food or fast food",751,751,NA
".","Missing",5424,6175,NA
