"DRD350HQ.Code.or.Value","DRD350HQ.Value.Description","DRD350HQ.Count","DRD350HQ.Cumulative","DRD350HQ.Skip.to.Item"
"1 to 30","Range of Values",3400,3400,NA
".","Missing",5938,9338,NA
