"BPQ080.Code.or.Value","BPQ080.Value.Description","BPQ080.Count","BPQ080.Cumulative","BPQ080.Skip.to.Item"
"1","Yes",1826,1826,"BPQ070"
"2","No",3696,5522,""
"7","Refused",1,5523,""
"9","Don't know",36,5559,""
".","Missing",616,6175,""
