"HSQ470.Code.or.Value","HSQ470.Value.Description","HSQ470.Count","HSQ470.Cumulative","HSQ470.Skip.to.Item"
"0 to 30","Range of Values",7014,7014,NA
"77","Refused",0,7014,NA
"99","Don't know",16,7030,NA
".","Missing",3352,10382,NA
