"DSDCOUNT.Code.or.Value","DSDCOUNT.Value.Description","DSDCOUNT.Count","DSDCOUNT.Cumulative","DSDCOUNT.Skip.to.Item"
"0 to 20","Range of Values",10172,10172,NA
"77","Refused",1,10173,NA
"99","Don't know",2,10175,NA
".","Missing",0,10175,NA
