"DUQ310Q.Code.or.Value","DUQ310Q.Value.Description","DUQ310Q.Count","DUQ310Q.Cumulative","DUQ310Q.Skip.to.Item"
"0 to 35","Range of Values",80,80,NA
"7777","Refused",0,80,NA
"9999","Don't know",0,80,NA
".","Missing",4977,5057,NA
