"OSQ010b.Code.or.Value","OSQ010b.Value.Description","OSQ010b.Count","OSQ010b.Cumulative","OSQ010b.Skip.to.Item"
"1","Yes",389,389,"OSQ020b"
"2","No",4482,4871,""
"7","Refused",3,4874,""
"9","Don't know",6,4880,""
".","Missing",0,4880,""
