"MCQ260GC.Code.or.Value","MCQ260GC.Value.Description","MCQ260GC.Count","MCQ260GC.Cumulative","MCQ260GC.Skip.to.Item"
"3","Mother's mother",37,37,NA
".","Missing",9456,9493,NA
