"LBXLUZ.Code.or.Value","LBXLUZ.Value.Description","LBXLUZ.Count","LBXLUZ.Cumulative","LBXLUZ.Skip.to.Item"
"1.7 to 111","Range of Values",7254,7254,NA
".","Missing",832,8086,NA
