"WBXP097.Code.or.Value","WBXP097.Value.Description","WBXP097.Count","WBXP097.Cumulative","WBXP097.Skip.to.Item"
"-174.8517 to 175.8744","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
