"DMDHRAGE.Code.or.Value","DMDHRAGE.Value.Description","DMDHRAGE.Count","DMDHRAGE.Cumulative","DMDHRAGE.Skip.to.Item"
"15 to 84","Range of Values",10805,10805,NA
"85",">= 85 years of age",232,11037,NA
".","Missing",2,11039,NA
