"DRXTS140.Code.or.Value","DRXTS140.Value.Description","DRXTS140.Count","DRXTS140.Cumulative","DRXTS140.Skip.to.Item"
"0 to 20.636","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
