"SLQ060.Code.or.Value","SLQ060.Value.Description","SLQ060.Count","SLQ060.Cumulative","SLQ060.Skip.to.Item"
"1","Yes",579,579,NA
"2","No",5872,6451,NA
"7","Refused",0,6451,NA
"9","Don't know",13,6464,NA
".","Missing",0,6464,NA
