"ALQ120U.Code.or.Value","ALQ120U.Value.Description","ALQ120U.Count","ALQ120U.Cumulative","ALQ120U.Skip.to.Item"
"1","Week",1383,1383,NA
"2","Month",819,2202,NA
"3","Year",1110,3312,NA
"7","Refused",0,3312,NA
"9","Don't know",0,3312,NA
".","Missing",2395,5707,NA
