"DR2TCAFF.Code.or.Value","DR2TCAFF.Value.Description","DR2TCAFF.Count","DR2TCAFF.Cumulative","DR2TCAFF.Skip.to.Item"
"0 to 1581","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
