"URXMOH.Code.or.Value","URXMOH.Value.Description","URXMOH.Count","URXMOH.Cumulative","URXMOH.Skip.to.Item"
"0.14 to 6079.9","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
