"PFQ061F.Code.or.Value","PFQ061F.Value.Description","PFQ061F.Count","PFQ061F.Cumulative","PFQ061F.Skip.to.Item"
"1","No difficulty",1957,1957,NA
"2","Some difficulty",494,2451,NA
"3","Much difficulty",145,2596,NA
"4","Unable to do",136,2732,NA
"5","Do not do this activity",139,2871,NA
"7","Refused",0,2871,NA
"9","Don't know",1,2872,NA
".","Missing",6794,9666,NA
