"ARQ023QA.Code.or.Value","ARQ023QA.Value.Description","ARQ023QA.Count","ARQ023QA.Cumulative","ARQ023QA.Skip.to.Item"
"19 to 68","Range of Values",56,56,NA
"777","Refused",0,56,NA
"999","Don't know",0,56,NA
".","Missing",5050,5106,NA
