"LBXMCVSI.Code.or.Value","LBXMCVSI.Value.Description","LBXMCVSI.Count","LBXMCVSI.Cumulative","LBXMCVSI.Skip.to.Item"
"56.4 to 120.2","Range of Values",8952,8952,NA
".","Missing",977,9929,NA
