"DR1TS160.Code.or.Value","DR1TS160.Value.Description","DR1TS160.Count","DR1TS160.Cumulative","DR1TS160.Skip.to.Item"
"0 to 120.117","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
