"HSQ580.Code.or.Value","HSQ580.Value.Description","HSQ580.Count","HSQ580.Cumulative","HSQ580.Skip.to.Item"
"1 to 12","Range of Values",242,242,NA
"77","Refused",0,242,NA
"99","Don't know",5,247,NA
".","Missing",9060,9307,NA
