"DR1IMFAT.Code.or.Value","DR1IMFAT.Value.Description","DR1IMFAT.Count","DR1IMFAT.Cumulative","DR1IMFAT.Skip.to.Item"
"0 to 109.317","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
