"DR2TSODI.Code.or.Value","DR2TSODI.Value.Description","DR2TSODI.Count","DR2TSODI.Cumulative","DR2TSODI.Skip.to.Item"
"0 to 14388","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
