"WBXP083.Code.or.Value","WBXP083.Value.Description","WBXP083.Count","WBXP083.Cumulative","WBXP083.Skip.to.Item"
"-172.8619 to 167.3392","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
