"PUD033.Code.or.Value","PUD033.Value.Description","PUD033.Count","PUD033.Cumulative","PUD033.Skip.to.Item"
"1","Yes",976,976,""
"2","No",1246,2222,"PUD040"
".","Missing",7743,9965,""
