"DS2IIRON.Code.or.Value","DS2IIRON.Value.Description","DS2IIRON.Count","DS2IIRON.Cumulative","DS2IIRON.Skip.to.Item"
"0.0004 to 270","Range of Values",1206,1206,NA
".","Missing",4697,5903,NA
