"CIQD006.Code.or.Value","CIQD006.Value.Description","CIQD006.Count","CIQD006.Cumulative","CIQD006.Skip.to.Item"
"1","Yes",56,56,NA
"2","No",13,69,NA
"7","Refuse",0,69,NA
"9","Don't know",0,69,NA
".","Missing",859,928,NA
