"LBXPFNA.Code.or.Value","LBXPFNA.Value.Description","LBXPFNA.Count","LBXPFNA.Cumulative","LBXPFNA.Skip.to.Item"
"0.07 to 16.3","Range of Values",2168,2168,NA
".","Missing",171,2339,NA
