"LBXTHG.Code.or.Value","LBXTHG.Value.Description","LBXTHG.Count","LBXTHG.Cumulative","LBXTHG.Skip.to.Item"
"0.14 to 33.2","Range of Values",8407,8407,NA
".","Missing",1033,9440,NA
