"URDMU6LC.Code.or.Value","URDMU6LC.Value.Description","URDMU6LC.Count","URDMU6LC.Cumulative","URDMU6LC.Skip.to.Item"
"0","At or above the detection limit",2543,2543,NA
"1","Below lower detection limit",171,2714,NA
".","Missing",117,2831,NA
