"BPQ150A.Code.or.Value","BPQ150A.Value.Description","BPQ150A.Count","BPQ150A.Cumulative","BPQ150A.Skip.to.Item"
"1","Yes",1617,1617,NA
"2","No",5443,7060,NA
".","Missing",2278,9338,NA
