"CIQG28.Code.or.Value","CIQG28.Value.Description","CIQG28.Count","CIQG28.Cumulative","CIQG28.Skip.to.Item"
"0 to 28","Range of Values",25,25,NA
"77","Refused",0,25,NA
"99","Don't know",0,25,NA
".","Missing",903,928,NA
