"PSQ120.Code.or.Value","PSQ120.Value.Description","PSQ120.Count","PSQ120.Cumulative","PSQ120.Skip.to.Item"
"1","Yes",5,5,"PSQ210"
"2","No",3,8,"PSQ210"
"7","Refused",0,8,"PSQ210"
"9","Don't know",0,8,"PSQ210"
".","Missing",113,121,""
