"URDFLOW1.Code.or.Value","URDFLOW1.Value.Description","URDFLOW1.Count","URDFLOW1.Cumulative","URDFLOW1.Skip.to.Item"
"0 to 39","Range of Values",6963,6963,NA
".","Missing",858,7821,NA
