"FSQ171.Code.or.Value","FSQ171.Value.Description","FSQ171.Count","FSQ171.Cumulative","FSQ171.Skip.to.Item"
"1","Yes",2733,2733,""
"2","No",591,3324,"FSQ162"
"7","Refused",3,3327,"FSQ162"
"9","Don't know",2,3329,"FSQ162"
".","Missing",7208,10537,""
