"BPXSY4.Code.or.Value","BPXSY4.Value.Description","BPXSY4.Count","BPXSY4.Cumulative","BPXSY4.Skip.to.Item"
"80 to 248","Range of Values",1596,1596,NA
".","Missing",8047,9643,NA
