"LBDVDELC.Code.or.Value","LBDVDELC.Value.Description","LBDVDELC.Count","LBDVDELC.Cumulative","LBDVDELC.Skip.to.Item"
"0","At or above detection limit",0,0,NA
"1","Below lower detection limit",2906,2906,NA
"2","Detectable result and exceeds the calibrated range of 
      assay",0,2906,NA
".","Missing",360,3266,NA
