"DR2IP184.Code.or.Value","DR2IP184.Value.Description","DR2IP184.Count","DR2IP184.Cumulative","DR2IP184.Skip.to.Item"
"0 to 0.464","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
