"DR2TNIAC.Code.or.Value","DR2TNIAC.Value.Description","DR2TNIAC.Count","DR2TNIAC.Cumulative","DR2TNIAC.Skip.to.Item"
"0 to 158.858","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
