"DIQ200A.Code.or.Value","DIQ200A.Value.Description","DIQ200A.Count","DIQ200A.Cumulative","DIQ200A.Skip.to.Item"
"1","Yes",2930,2930,NA
"2","No",4331,7261,NA
"7","Refused",0,7261,NA
"9","Don't know",6,7267,NA
".","Missing",2555,9822,NA
