"DR2IVB6.Code.or.Value","DR2IVB6.Value.Description","DR2IVB6.Count","DR2IVB6.Cumulative","DR2IVB6.Skip.to.Item"
"0 to 10.375","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
