"DR2TMAGN.Code.or.Value","DR2TMAGN.Value.Description","DR2TMAGN.Count","DR2TMAGN.Cumulative","DR2TMAGN.Skip.to.Item"
"0 to 2523","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
